Name,Party,Position,Jurisdiction,OpenFEC ID,District,Incumbent,Status,Race Active,Election Year,Term Start,Term End
Rich McCormick,Republican,House,Georgia,H0GA07273,7,true,Won General,false,2024,2025,2027
Garret Graves,Republican,House,Louisiana,H4LA06153,6,true,Lost General,false,2024,2025,2027
Sam Graves,Republican,House,Missouri,H0MO06073,6,true,Won General,false,2024,2025,2027
Tom Emmer,Republican,House,Minnesota,H4MN06087,6,true,Won General,false,2024,2025,2027
John Rose,Republican,House,Tennessee,H8TN06094,6,true,Won General,false,2024,2025,2027
Ben Cline,Republican,House,Virginia,H8VA06104,6,true,Won General,false,2024,2025,2027
Neil Parrott,Republican,House,Maryland,H0MD06231,6,false,Lost General,false,2024,2025,2027
Thomas Tiffany,Republican,House,Wisconsin,H0WI07101,7,true,Won General,false,2022,2023,2025
Mark Green,Republican,House,Tennessee,H8TN07076,7,true,Won General,false,2022,2023,2025
Michelle Fischbach,Republican,House,Minnesota,H0MN07091,7,true,Won General,false,2022,2023,2025
David Rouzer,Republican,House,North Carolina,H2NC07096,7,true,Won General,false,2022,2023,2025
Eric Burlison,Republican,House,Missouri,H2MO07143,7,false,Won General,false,2022,2023,2025
Russell Fry,Republican,House,South Carolina,H2SC07280,7,true,Won General,false,2022,2023,2025
Cory Mills,Republican,House,Florida,H2FL07156,7,false,Won General,false,2022,2023,2025
Cory Mills,Republican,House,Florida,H2FL07156,7,true,Won General,false,2024,2025,2027
Chad Koppie,Republican,House,Illinois,H2IL08203,7,false,Lost General,false,2024,2025,2027
Scott Collier,Republican,House,Maryland,H0MD02255,7,false,Lost General,false,2024,2025,2027
Eric Burlison,Republican,House,Missouri,H2MO07143,7,true,Won General,false,2024,2025,2027
Michelle Fischbach,Republican,House,Minnesota,H0MN07091,7,true,Won General,false,2024,2025,2027
Tom Barrett,Republican,House,Michigan,H2MI07123,7,false,Won General,false,2024,2025,2027
David Rouzer,Republican,House,North Carolina,H2NC07096,7,true,Won General,false,2024,2025,2027
Russell Fry,Republican,House,South Carolina,H2SC07280,7,true,Won General,false,2024,2025,2027
Mark Green,Republican,House,Tennessee,H8TN07076,7,true,Won General,false,2024,2025,2027
Thomas Tiffany,Republican,House,Wisconsin,H0WI07101,7,true,Won General,false,2024,2025,2027
Austin Scott,Republican,House,Georgia,H0GA08099,8,true,Won General,false,2022,2023,2025
Debbie Lesko,Republican,House,Arizona,H8AZ08158,8,true,Won General,false,2022,2023,2025
David Kustoff,Republican,House,Tennessee,H2TN07103,8,true,Won General,false,2022,2023,2025
Warren Davidson,Republican,House,Ohio,H6OH08315,8,true,Won General,false,2022,2023,2025
Jason Smith,Republican,House,Missouri,H4MO08162,8,true,Won General,false,2022,2023,2025
Dan Bishop,Republican,House,North Carolina,H0NC09187,8,true,Won General,false,2022,2023,2025
Pete Stauber,Republican,House,Minnesota,H8MN08043,8,true,Won General,false,2022,2023,2025
Bill Posey,Republican,House,Florida,H8FL15107,8,true,Won General,false,2022,2023,2025
Abraham Hamadeh,Republican,House,Arizona,H4AZ08108,8,false,Won General,false,2024,2025,2027
Bill Posey,Republican,House,Florida,H8FL15107,8,true,Dropped Out,false,2024,2025,2027
Austin Scott,Republican,House,Georgia,H0GA08099,8,true,Won General,false,2024,2025,2027
Cheryl Riley,Republican,House,Maryland,H4MD08213,8,false,Lost General,false,2024,2025,2027
Jason Smith,Republican,House,Missouri,H4MO08162,8,true,Won General,false,2024,2025,2027
Pete Stauber,Republican,House,Minnesota,H8MN08043,8,true,Won General,false,2024,2025,2027
